"video_id","title","channel_title","published_at","view_count","like_count","comment_count","category_id","category_name"
"SGNv03tVTf8","I Watched EVERY Digital Circus Episode..","KreekCraft","2026-06-19T21:13:03Z","1238375","33249","319","20","Gaming"
"3DIs7AnOBoc","BLADE BROWN - INVITE ONLY [FREESTYLE]","GRM Daily","2026-06-18T16:00:06Z","49126","2656","168","10","Music"
"NMKZ5e5h430","THE ROOM RETURNS - Official Trailer (HD)","Brando Crawford","2026-06-19T00:09:55Z","107467","3971","285","29","Nonprofits & Activism"
"ljppGDO4HlU","I Got Hunted By a Minecraft Combat Master","FlameFrags","2026-06-19T04:32:41Z","1859852","104155","17404","20","Gaming"
"WSIVJjOG4CA","Mist x M1llionz x Lynch x A Class - Diamonds (Official Video) | P110","P110: Music","2026-06-18T18:00:06Z","44399","2261","114","10","Music"
"BKjxHAISjwM","SHREK 5 | Official Teaser Trailer","Universal Pictures Canada","2026-06-16T15:54:02Z","188649","2923","0","24","Entertainment"
"_GLTXRCQB5g","POOR vs RICH TRAIN Build Challenge! (Minecraft)","Cash","2026-06-19T16:00:30Z","316737","4786","1020","24","Entertainment"
"_auH8xtDgFo","Pieces Of Me ✦ Kimo Sounds (Lyrics Video)","Kimo Sounds","2026-06-12T16:30:07Z","162090","2078","43","10","Music"
"4YkbZTSoG2g","Nagabandham Official Trailer | Virat Karrna | Nabha Natesh | Abhishek Nama | NIK Studios","Abhishek Pictures","2026-06-19T11:48:55Z","1550687","30732","1052","24","Entertainment"
"PD-x-6goTEI","i found a hidden decaying clan base...","Walski ","2026-06-19T21:20:24Z","27975","471","83","20","Gaming"
"Bm9lLpmPM0A","Pattampoochi Lyric Video | Vishwanath and Sons | Suriya, Mamitha Baiju | G.V. Prakash | Venky Atluri","Aditya Music Tamil","2026-06-19T11:35:05Z","818200","52592","1887","10","Music"
"413kklN9iFA","Spider-Man Brand New Day is a Secret X-Men Movie","ScreenCrush","2026-06-19T17:06:28Z","47699","1990","281","1","Film & Animation"
"lKJajBU6uuk","I Pretended to be a BABY DRAGON in ONE CHUNK in Minecraft!","Dash","2026-06-19T14:19:16Z","264353","3640","482","20","Gaming"
"eOrYATRHo4A","Codruta Filip - La Nunta Ta | Videoclip Oficial","Codruta Filip","2026-06-19T06:30:06Z","173071","9504","371","10","Music"
"3HAM-FgIkqk","CHAALI DIN (Trailer) Gurpreet Ghuggi | Debi Makhsoospuri | Sukhan W | Gurpreet Dhugga | Tarn Jagpal","Lone Tree","2026-06-19T03:30:58Z","474675","11701","323","1","Film & Animation"
"a8RA925PWrM","This Toxic Vampire Boyfriend Bullied Me Into Loving Him (Diabolik Lovers)","Leo Hashee","2026-06-18T15:40:03Z","78706","2567","181","23","Comedy"
"6KAp-xbjUzU","Hussain Kehtay Hain | Nadeem Sarwar | 2026 / 1448 - 47th Album","Nadeem Sarwar","2026-06-19T14:07:34Z","1075221","140222","11899","10","Music"
"3P_GJ4zKtgk","JJK Season 4's Trailer Isn't What You Think","Allons-Y","2026-06-19T19:48:31Z","28181","1529","219","24","Entertainment"
"yq-gVH2bQBs","HIDING TOGETHER!","Two Much Grian","2026-06-19T16:00:21Z","189029","11175","428","20","Gaming"
"ulgKmnSLZWU","The One And Only Keir Starmer","Nicola West - Topic","2026-06-14T21:30:00Z","21279","2088","0","10","Music"
"NA_7tmxv4_c","I,Nobody Trailer - Malayalam| Prithviraj Sukumaran| Parvathy Thiruvothu| Nisam Basheer| Jakes Bejoy","E4 Entertainment","2026-06-18T11:30:07Z","1176625","38574","1737","1","Film & Animation"
"xVuO0NjcBIY","Finding true love on Roblox Love Island","GeorgePlays","2026-06-19T15:30:31Z","40271","3064","280","20","Gaming"
"n9xOeOOFxFk","Bonnie Tyler - Total Eclipse of the Heart (Sub. Español + Lyrics)","LyricHype","2026-06-13T19:23:42Z","70071","195","2","22","People & Blogs"
"AsMsvgFRfM4","I Watched Avengers: Doomsday Leaked Footage in 0.25x Speed and Here's What I Found","The Canadian Lad","2026-06-19T12:55:14Z","134394","7095","457","22","People & Blogs"
"ogSuGKEBQJc","Being Hunted But The Monster Evolves Every Round… [Cobb Can Move]","Joe Bart Games","2026-06-19T14:37:17Z","245883","8981","527","20","Gaming"
"T3CIVrKxir8","MEEKZ - SOULJA","MEEKZ","2026-06-18T19:05:51Z","53726","2700","187","10","Music"
"8d-CyHgLAM4","FlightReacts To NEW GTA 6 Cover Trailer + 20 Things You MISSED in GAMEPLAY & COVER ART!","NotYourAverageFlight","2026-06-19T21:04:28Z","59922","2698","162","20","Gaming"
